Facility,ICE Dedicated /Non-Dedicated,Address,ICE Field Office,State,Contract Type ,Facility Operator,FY20 ALOS,FY20 Male Crim,FY20 Male Non-Crim,FY20 Female Crim,FY20 Female Non-Crim,FY 2020 ADP (Fac List on 09/08/20),FY21 ALOS,FY21 Male Crim,FY21 Male Non-Crim,FY21 Female Crim,FY21 Female Non-Crim,FY 2021 ADP (Fac List on 01/04/21),FY 2021 ADP (Fac List on 02/08/21),FY20 Guaranteed Min,FY21 Guaranteed Min
Abraxas Academy Detention Center,Non-Dedicated,"1000 Academy Dr, Morgantown, PA 19543",Philadelphia,Pennsylvania,JUVENILE ,GEO,,,,,,0,,,,,,0,0,,
Ada County Jail,,"7210 Barrister Dr. Boise, ID 83704",Salt Lake City,Idaho,IGSA,GOV,,,,,,,,,,,,,,,
Adams County Correctional Center,Dedicated,"20 Hobo Fork Road, Natchez, MS 39120 ",New Orleans,Mississippi,DIGSA,GOV,85.4,188.4,465.9,7.1,229.8,908,59,157,175,4,17,361,325,1100,1100
Adelanto ICE Processing Center,Dedicated,"Adelanto East 10400 Rancho Road | Adelanto West 10250 Rancho Road Adelanto, CA, 92301",Los Angeles,California,DIGSA,GEO,83.3,706.4,393.1,64.7,127.2,1330,205,345,47,30,11,444,393,1455,1455
Albany County Jail,Non-Dedicated,"840 Albany Shaker Rd. Albany, NY 12211",Buffalo,New York,USMS IGA,GOV,,,,,,0,,,,,,0,0,,
Alexandria City Jail,Non-Dedicated,"2003 Mill Rd, Alexandria, VA 22314",Washington D.C.,Virginia,USMS IGA,GOV,,,,,,0,,,,,,0,0,,
Alexandria Staging Facility,Dedicated,"96 George Thompson Drive, Alexandria, LA 71303",New Orleans,Louisiana,STAGING,GEO,3,108.9,89.6,0,0,,3,84,46,0,0,,,1170,0
Allen Parish Detention Center,Non-Dedicated,"7340 Highway 26, Oberlin, LA 70655",New Orleans,Louisiana,IGSA,GOV,1.8,0.4,0.2,0,0,76,21,11,59,0,0,69,70,100,100
Anchorage Correctional Complex,Non-Dedicated,"1400 East 4th Avenue Anchorage, Alaska 99501",Seattle,Alaska,USMS IGA,GOV,,,,,,0,,,,,,0,0,,
Annex Folkston IPC ,Dedicated,"3424 GA-252, Folkston, GA 31537",Atlanta,Georgia,DIGSA,GEO,38,155,39,0,0,202,,,,,,52,47,338,0
Aurora Contract Detention Facility,Dedicated,"3130 North Oakland Street Aurora, CO, 80010",Denver,Colorado,CDF,GEO,77.6,258.3,186.4,5.1,12.3,,,,,,,241,233,525,525
Baker County Facility,Non-Dedicated,"1 Sheriff's Office Drive MacClenny, FL, 32063",Miami,Florida,IGSA,GOV,40.1,149.3,70.4,12.5,2.1,237,63,134,56,7,2,199,193,0,
